Empty Room,SITTING,RUNNING,Walking
58.25,59.75,63,68
58.25,60.0,65,65
58.75,60.5,68,65
58.75,60.5,70,67
58.0,60.0,70,67
58.0,60.0,68,65
58.0,61.0,68,65
58.75,60.5,62,75
58.75,59.5,62,75
58.5,59.5,63,78
58.0,59.75,63,78
58.0,59.5,62,74
58.25,60.25,62,74
59.0,60.5,66,67
59.0,61.0,64,67
59.0,60.25,64,67
59.25,59.0,64,71
59.0,59.25,66,71
58.75,59.5,66,66
58.25,59.75,63,68
58.5,60.75,63,68
58.25,59.5,64,66
58.5,59.25,64,66
58.0,60.5,68,70
58.25,58.25,63,68
58.25,58.25,63,67
58.0,58.75,64,69
58.0,58.5,64,66
58.0,61.5,63,76
58.0,59.25,65,66
58.0,59.75,67,68
58.25,60.0,67,68
58.25,59.0,62,69
59.5,58.25,62,69
59.5,58.5,64,66
59.5,59.25,65,67
59.5,59.75,65,67
59.25,59.75,65,67
59.25,60.0,63,71
58.75,59.5,63,71
58.75,59.25,66,71
58.5,60.5,66,71
58.75,60.25,63,67
58.5,58.5,68,67
58.75,58.25,68,68
58.75,59.0,67,68
58.0,59.75,64,74
59.75,60.0,64,70
59.0,59.0,69,70
58.25,59.0,69,70
58.5,59.25,64,70
58.0,59.5,64,68
58.25,59.0,64,68
58.25,58.75,62,71
58.5,59.0,62,71
58.25,59.0,66,71
58.25,60.0,64,65
58.0,59.75,62,71
59.25,59.25,62,71
59.75,59.25,66,71
59.75,59.25,64,69
59.75,58.75,63,70
59.25,59.0,63,70
59.5,59.25,69,69
58.25,59.75,69,69
58.0,58.75,63,68
58.25,58.0,63,68
58.5,58.5,66,67
58.0,59.25,66,67
58.0,59.25,63,68
59.0,60.0,63,68
59.25,59.5,69,72
58.25,58.25,69,72
58.0,58.5,63,68
58.0,59.0,62,68
58.25,58.75,62,68
58.75,59.0,72,69
58.25,59.25,72,69
58.0,59.25,72,72
58.5,58.25,63,69
58.25,58.0,63,70
59.25,57.75,63,70
59.25,58.0,63,69
58.5,58.25,71,68
58.5,60.25,71,68
58.0,59.75,64,67
58.0,59.5,65,67
58.0,59.75,65,71
58.0,59.25,65,71
58.25,59.25,74,70
58.5,59.5,74,70
58.5,58.75,64,70
58.25,58.25,63,67
58.25,58.5,63,67
58.25,58.25,63,70
58.25,58.0,63,69
58.75,58.0,62,72
58.5,58.75,62,74
58.25,58.75,63,74
58.0,58.75,63,68
58.25,58.25,62,69
58.0,58.0,62,69
58.0,59.25,70,69
58.0,57.75,64,67
58.25,57.5,64,67
58.25,58.75,64,69
58.75,58.5,64,69
58.75,60.75,70,72
58.5,60.75,70,72
58.5,60.0,63,75
58.25,60.75,63,75
58.5,60.25,66,67
58.5,60.0,66,67
58.0,58.75,65,70
58.25,58.5,65,70
58.25,57.75,68,69
58.25,57.75,68,69
58.0,58.0,65,68
58.0,58.25,65,68
58.25,59.0,61,74
58.25,59.0,61,74
58.25,59.25,65,68
58.25,59.0,65,68
58.25,57.75,74,66
58.25,58.0,74,66
58.0,60.0,62,72
58.0,61.5,62,72
58.25,62.5,62,72
58.25,63.0,62,72
58.0,61.0,66,70
58.5,60.5,73,69
58.25,61.25,73,69
58.0,64.0,66,76
58.0,63.25,66,76
58.75,62.0,68,73
59.0,60.5,68,73
58.25,62.25,64,67
58.0,63.25,64,67
58.0,60.75,66,70
58.5,60.25,66,70
58.75,59.75,61,68
58.5,59.75,61,70
58.5,59.25,62,73
58.0,59.25,62,73
58.25,61.0,69,71
58.25,60.75,69,71
58.25,59.25,62,68
58.75,60.25,64,72
58.5,60.5,64,72
58.0,59.5,67,72
58.0,59.5,67,72
58.25,60.5,62,69
59.5,59.5,66,68
59.25,60.0,67,73
58.5,59.75,67,75
58.5,60.0,65,75
58.75,60.5,67,70
59.25,60.0,72,69
58.25,59.0,63,69
58.0,59.5,63,74
58.5,59.0,63,68
59.25,60.0,63,68
59.0,60.0,63,75
58.0,60.0,64,75
58.5,60.5,74,74
58.25,59.25,66,67
58.25,59.25,69,67
58.5,61.25,69,68
58.5,61.75,62,68
58.25,63.0,64,68
58.75,63.5,64,68
58.75,59.75,62,69
58.5,59.25,62,69
58.5,59.75,63,65
59.25,59.75,63,65
59.25,59.75,65,70
59.25,59.5,65,70
58.25,60.75,64,75
58.25,60.75,64,71
58.5,61.0,64,71
58.5,61.25,64,69
58.25,59.0,69,73
58.25,59.0,69,73
58.25,60.0,64,73
58.5,60.0,64,73
58.25,60.5,67,67
58.0,60.25,70,68
58.25,60.25,70,70
58.5,60.75,65,70
58.5,60.25,65,66
58.5,60.75,68,74
58.5,60.5,67,68
58.25,59.25,74,68
58.5,59.75,74,71
59.25,59.25,66,71
59.0,59.5,66,70
58.25,59.5,62,70
58.25,59.0,62,67
58.5,59.75,62,67
58.5,59.5,62,67
58.75,59.25,64,67
58.5,59.75,64,73
58.25,59.0,64,73
58.5,58.75,70,71
58.75,58.75,70,71
58.5,59.25,70,70
58.5,59.75,70,70
58.5,60.25,66,74
58.75,59.75,66,74
58.25,59.75,67,73
58.25,59.75,67,73
58.5,60.75,65,68
58.5,61.0,65,68
58.5,60.75,62,72
58.5,61.25,62,72
58.0,60.5,66,64
58.0,59.75,66,64
58.5,60.5,68,69
58.5,60.5,68,69
58.25,61.0,68,67
58.25,60.75,64,66
58.5,61.25,61,67
58.5,61.25,61,73
58.75,60.0,62,73
58.75,60.0,62,73
58.5,61.75,63,73
58.5,61.75,63,77
58.5,60.5,65,77
58.5,60.5,65,68
58.25,59.75,65,68
58.25,59.75,65,69
58.5,58.75,63,69
58.5,58.5,63,68
58.5,59.25,68,68
58.5,59.5,68,70
58.5,59.5,65,70
58.5,59.5,65,70
58.5,59.0,62,70
58.5,59.0,62,71
58.75,60.0,62,71
59.0,59.75,62,69
58.5,59.5,63,69
58.5,59.75,63,71
58.75,59.75,65,71
58.5,59.75,65,70
58.25,59.75,62,70
58.25,59.75,62,69
58.5,59.75,64,69
58.5,59.75,64,71
58.75,59.75,64,71
59.0,59.75,64,68
58.75,59.25,61,68
58.25,59.25,66,66
58.5,62.5,66,66
58.5,62.5,65,71
58.5,60.25,70,71
58.5,60.0,70,67
58.5,59.25,65,67
58.25,60.0,61,67
58.25,60.25,61,67
58.5,59.25,63,68
58.75,59.25,63,68
58.75,60.5,64,78
58.5,60.25,64,78
58.25,59.25,62,69
58.75,60.0,62,69
58.75,58.75,61,69
58.5,58.5,61,68
58.5,58.5,63,68
58.5,58.25,63,71
58.5,58.5,64,71
58.25,58.75,64,69
58.25,59.0,67,69
58.5,59.0,67,71
58.5,58.75,60,71
58.5,58.75,60,70
58.5,61.5,63,70
58.5,61.25,63,69
58.5,59.5,61,69
58.75,59.75,61,70
58.25,58.25,68,70
58.5,58.5,68,70
58.75,59.0,69,70
58.5,58.75,69,69
58.0,58.25,64,69
58.0,58.25,64,71
58.5,57.5,64,71
58.5,58.0,63,69
58.0,59.75,63,69
58.0,59.25,63,73
58.25,57.5,64,73
58.5,57.5,64,68
58.5,58.0,64,68
58.25,57.75,64,70
58.25,57.5,64,70
58.5,57.75,64,70
58.75,57.75,67,70
58.5,58.25,67,71
59.0,57.75,65,74
58.5,57.75,65,68
58.25,57.75,61,68
58.75,58.0,61,67
59.0,58.0,64,67
58.5,57.75,64,69
58.5,58.25,73,69
58.25,59.0,73,68
58.5,58.75,67,68
58.5,58.75,67,68
58.5,58.75,67,69
58.75,58.75,61,69
58.75,59.0,62,68
58.75,59.0,62,68
58.75,58.0,63,68
58.75,59.0,63,68
58.75,59.75,65,73
59.0,59.5,64,73
59.0,58.75,64,68
58.75,58.75,62,68
58.75,58.75,62,70
58.75,58.75,62,70
59.0,58.75,62,69
59.0,58.75,63,69
58.5,59.25,63,68
58.25,59.25,62,68
58.75,59.25,64,70
58.5,59.25,64,70
58.25,58.5,63,72
58.5,58.5,74,72
58.25,58.0,74,71
58.0,58.0,69,71
58.0,58.5,69,71
59.0,58.25,66,68
58.75,58.0,66,72
58.75,57.75,65,72
59.0,58.5,65,72
58.5,58.75,61,67
58.75,58.5,61,69
58.75,58.25,65,69
58.5,57.75,73,69
58.25,58.25,73,69
58.5,59.75,63,73
58.5,59.5,70,73
58.5,58.5,70,68
58.5,58.5,65,68
58.75,59.25,65,71
58.75,58.75,62,71
58.0,58.75,62,71
58.0,59.25,64,67
58.5,59.0,64,66
58.5,59.5,65,68
58.25,59.0,69,68
58.5,59.0,69,68
58.75,59.5,65,66
59.0,59.25,65,66
59.0,59.25,65,66
59.0,60.5,65,66
59.0,60.0,65,72
59.0,59.75,64,71
58.75,59.75,65,72
58.5,59.75,63,72
58.75,59.75,63,72
58.75,64.0,64,72
58.5,64.0,66,78
58.25,59.25,67,78
58.5,59.25,67,69
58.5,58.5,63,69
58.0,58.5,63,70
58.25,59.75,63,70
58.5,59.75,63,67
58.5,58.75,62,67
58.5,58.75,66,68
58.5,58.0,66,68
58.75,58.0,62,71
58.75,60.0,65,71
58.5,60.0,72,67
58.5,61.5,71,67
58.25,61.5,71,71
58.25,59.0,63,71
58.5,59.0,63,67
58.5,59.5,61,67
58.5,60.0,61,65
58.75,61.75,64,65
58.5,62.5,64,67
58.75,58.75,61,67
58.25,59.25,61,68
58.25,58.5,66,68
58.5,57.5,66,79
58.5,58.75,67,79
58.75,59.25,67,69
58.5,58.25,62,66
58.5,58.25,62,66
58.5,58.25,64,69
58.25,58.75,64,69
58.5,60.0,65,69
58.5,59.75,65,69
58.25,58.75,73,70
58.5,58.75,73,70
58.5,58.75,62,69
58.75,58.5,62,69
58.75,59.5,65,68
58.75,59.5,65,68
58.75,58.75,66,71
58.5,59.25,66,71
58.5,59.0,61,68
59.0,58.75,61,66
59.0,57.75,60,66
58.75,57.5,60,66
59.0,57.5,61,68
58.5,58.75,61,68
58.25,58.25,62,68
58.5,58.75,62,68
58.5,58.75,62,76
59.0,58.0,63,76
59.25,58.0,65,70
58.75,57.75,69,70
58.5,57.75,69,74
58.25,58.0,58,74
58.5,58.25,65,69
58.5,58.25,66,69
58.5,58.25,68,68
58.5,59.5,76,68
58.5,59.5,76,79
58.25,58.75,73,67
58.25,59.5,73,68
58.25,59.25,63,68
58.25,58.25,63,72
58.25,58.25,63,72
58.25,58.5,63,69
58.5,58.5,64,69
58.75,59.0,64,69
58.5,59.0,64,69
58.25,58.5,64,74
58.25,58.75,64,74
58.75,58.75,64,66
58.75,58.5,63,66
58.75,59.0,63,65
58.5,58.75,64,65
